# d   rho   err_rho
13.392242657   0.190335159754   0.10989005572
16.403834686   0.517860519815   0.13371101126
20.0926610499   0.319370091622   0.0774586247894
24.6110153995   0.184010075807   0.0433715908033
30.1454385503   0.0890046833473   0.0222511708368
36.9244198437   0.00908108852112   0.0052429689022
45.2278303571   0.00823588808308   0.00368320112177
55.3984774161   0.00448161158385   0.00200423763005
67.8562574368   0.00097547913162   0.000689767908874
83.1154914014   0.00106162651361   0.000530813256806
101.806158663   0.000722113637463   0.000322939036169
124.699905721   7.85885580247e-05   7.85885580247e-05
152.741903743   0.000342115763059   0.000120956188005
187.089870068   2.32705621919e-05   2.32705621919e-05
229.161864717   3.79884792132e-05   2.19326586998e-05
